id,player_id,club_id,start_date,contract_type
31,31,5,2020-07-01,PERMANENT
32,32,5,2023-08-27,PERMANENT
33,33,5,2025-08-12,PERMANENT
34,34,5,2022-10-01,PERMANENT
35,35,5,2017-01-01,PERMANENT
36,36,5,2024-07-01,PERMANENT
37,37,5,2025-08-12,PERMANENT
38,38,5,2025-08-12,PERMANENT
39,39,5,2025-08-12,PERMANENT
40,40,5,2024-04-02,PERMANENT
41,41,5,2025-02-28,PERMANENT
42,42,5,2025-07-30,PERMANENT
43,43,5,2023-07-10,PERMANENT
44,44,5,2015-01-01,PERMANENT
45,45,5,2024-07-22,PERMANENT
46,46,5,2025-02-01,PERMANENT
47,47,5,2020-02-01,PERMANENT
48,48,5,2024-07-05,PERMANENT
49,49,5,2024-01-23,PERMANENT
50,50,5,2023-08-23,PERMANENT
51,51,5,2025-02-21,PERMANENT
52,52,5,2024-01-24,PERMANENT
53,53,5,2025-09-04,PERMANENT
54,54,5,2025-08-01,PERMANENT
55,55,5,2025-09-02,PERMANENT
56,56,5,2023-03-29,PERMANENT
