id,current_club,name,position,icon_url,date_of_birth,country,jersey_number,alumni
31,5,Gad Mathews,GK,https://www.gormahia.com/wp-content/uploads/2025/10/Gad-Mathews-Gor-Mahia-FC-goalkeeper-min.png,1996-03-18,KENYA,16,Kisumu Day High School
32,5,Kevin Omondi,GK,https://www.gormahia.com/wp-content/uploads/2025/10/Kevin-Omondi-Gor-Mahia-FC-goalkeeper-min.png,1997-08-08,KENYA,35,
33,5,Bryne Otieno,GK,https://www.gormahia.com/wp-content/uploads/2025/10/Bryne_Otieno-Gor-Mahia-FC-Goalkeeper-min.png,1997-01-11,KENYA,23,Manguo High School
34,5,Sylvester Owino,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Sylvester-Owino-Gor-Mahia-FC-Defender.png,2001-05-06,KENYA,15,Kisumu Day High School
35,5,Philemon Otieno,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Philemon-Otieno-Gor-Mahia-FC-Defender.png,1992-10-18,KENYA,26,Kamukunji High School
36,5,Paul Ochuoga,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Paul-Ochuoga-Gor-Mahia-FC-Defender.png,2004-09-13,KENYA,37,
37,5,Mohammed Siraj,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Mohammed-Siraji-Gor-Mahia-FC-Defender.png,1998-12-04,KENYA,5,Mvita Boys Secondary School
38,5,Mike Kibwage,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Mike-Kibwage-Gor-Mahia-FC-Defender.png,1997-10-01,KENYA,4,Mukumu Boys High School
39,5,Lewis Bandi,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Lewis-Bandi-Gor-Mahia-FC-Defender.png,2002-12-01,KENYA,25,Eastleigh High School
40,5,Levin Odhiambo,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Levin-Odhiambo-Gor-Mahia-FC-Defender.png,2002-08-18,KENYA,33,
41,5,Brytone Onyona,DEF,https://www.gormahia.com/wp-content/uploads/2025/10/Bryton-Onyona-Gor-Mahia-FC-Defender-min.png,2005-06-24,KENYA,36,Oriwo Boys High School
42,5,Fidel Origa,MF,https://www.gormahia.com/wp-content/uploads/2025/10/Fidel-Origa-Gor-Mahia-FC.png,2000-12-12,KENYA,12,Kamukunji High School
43,5,Lawrence Juma,MF,https://www.gormahia.com/wp-content/uploads/2025/10/Lawrence-Juma-Gor-Mahia-FC-midfielder.png,1992-11-17,KENYA,24,Gesero Secondary School
44,5,Ernest Wendo,MF,https://www.gormahia.com/wp-content/uploads/2025/10/Ernest-Wendo-Gor-Mahia-FC-midfielder.png,1990-12-04,KENYA,20,Young Kings Academy
45,5,Enock Morisson,MF,https://www.gormahia.com/wp-content/uploads/2025/10/Enock-Morisson-Gor-Mahia-FC-midfielder.png,2000-01-18,GHANA,6,
46,5,Ben Stanley,MF,https://www.gormahia.com/wp-content/uploads/2025/10/Ben-Stanley-Gor-Mahia-FC-midfielder.png,2004-09-24,KENYA,38,Ambira High School
47,5,Alpha Onyango,MF,https://www.gormahia.com/wp-content/uploads/2025/10/Alpha-Onyango-Gor-Mahia-FC-midfielder.png,2000-12-23,KENYA,8,Kakamega High
48,5,Samuel Kapen,FW,https://www.gormahia.com/wp-content/uploads/2025/10/Samuel-Kapen-Gor-Mahia-FC-forward.png,2002-08-12,KENYA,30,
49,5,Shariff Musa,FW,https://www.gormahia.com/wp-content/uploads/2025/10/Shariff-Musa-Gor-Mahia-FC-Forward.png,2002-10-09,KENYA,7,Chesamisi Boys High School
50,5,Chris Ochieng',FW,https://www.gormahia.com/wp-content/uploads/2025/10/SIR_4171-Gor-Mahia-FC-Forward.png,1993-12-25,KENYA,40,
51,5,Patrick Essombe,FW,https://www.gormahia.com/wp-content/uploads/2025/10/Patrick-Essombe-Gor-Mahia-FC-Forward.png,1999-05-15,CAMEROON,21,
52,5,Mark Shaban,FW,https://www.gormahia.com/wp-content/uploads/2025/10/Mark-Shaban-Gor-Mahia-FC-Forward.png,2006-08-28,KENYA,28,Shanderema Boys High
53,5,George Amonoo,FW,https://www.gormahia.com/wp-content/uploads/2025/10/George-Amonoo-Gor-Mahia-FC-Forward.png,1999-04-14,GHANA,9,
54,5,Felix Oluoch,FW,https://www.gormahia.com/wp-content/uploads/2025/10/Felix-Oluoch-Gor-Mahia-FC-Forward.png,1999-04-18,KENYA,14,Chemase Secondary School
55,5,Ebenezer Adu Kwaw,FW,https://www.gormahia.com/wp-content/uploads/2025/10/Ebenezer-Adu-Kwaw-Gor-Mahia-FC.png,2001-08-03,GHANA,11,
56,5,Bryson Wangai,FW,https://www.gormahia.com/wp-content/uploads/2025/10/Bryson-Wangai-Gor-Mahia-FC-Forward.png,2000-09-19,KENYA,25,
