id,name,location
1,Moi International Sports Centre Kasarani,Nairobi
2,Nyayo National Stadium,Nairobi
3,Dandora Stadium,Nairobi
4,Police Sacco Stadium,Nairobi
5,Ulinzi Sports Complex,Nairobi
6,Kenyatta Stadium,Machakos
7,Gusii Stadium,Kisii
8,Mumias Sports Complex,Mumias
9,Mbaraki Sports Club,Mombasa
10,Thika Stadium,Thika
11,Kasarani Annex,Nairobi
12,Bomet Green Stadium,Bomet
13,Awendo Green Stadium,Awendo
14,Ruaraka Sports Club,Nairobi
15,St Sebastian Park,Murang'a
16,Wang'uru Stadium,Kirinyaga
17,Kinoru Stadium,Meru
18,Bukhungu Stadium,Kakamega
19,Afraha Stadium,Nakuru
20,Muhoroni Stadium,Muhoroni
21,Moi Stadium Kisumu,Kisumu
